,estacion,latitud,longitud,es_transbordo
0,ACATITLA,19.364737,-99.005892,False
1,ACULCO,19.374069,-99.108095,False
2,AGRICOLA ORIENTAL,19.404835,-99.069901,False
3,ALLENDE,19.435514,-99.137406,False
4,APATLACO,19.379292,-99.109597,False
5,AQUILES SERDAN,19.490423,-99.19487,False
6,ARAGON,19.451236,-99.095886,False
7,ATLALILCO,19.356134,-99.101315,False
8,AUDITORIO,19.425498,-99.191995,False
9,AUTOBUSES DEL NORTE,19.478973,-99.140668,False
10,AZCAPOTZALCO,19.49089,-99.18629,False
11,BALBUENA,19.42305556,-99.10222222,False
12,BALDERAS,19.42744,-99.149036,False
13,BARRANCA DEL MUERTO,19.360648,-99.190149,False
14,BELLAS ARTES,19.436243,-99.141955,True
15,BONDOJITO,19.46461,-99.111958,False
16,BOSQUE DE ARAGON,19.458115,-99.069192,False
17,BOULEVARD PUERTO AEREO,19.41967,-99.09595,False
18,BUENAVISTA,19.446603,-99.153199,False
19,CALLE 11,19.3205,-99.0857,False
20,CAMARONES,19.479135,-99.190063,False
21,CANAL DEL NORTE,19.449112,-99.116507,False
22,CANAL DE SAN JUAN,19.398683,-99.059365,False
23,CANDELARIA,19.428837,-99.119511,True
24,CENTRO MEDICO,19.406637,-99.155753,True
25,CERRO DE LA ESTRELLA,19.356012,-99.085522,False
26,CHABACANO,19.40916667,-99.13555556,True
27,CHAPULTEPEC,19.420783,-99.176288,False
28,CHILPANCINGO,19.4059,-99.1686,False
29,CIUDAD AZTECA,19.534595,-99.0275,False
30,CIUDAD DEPORTIVA,19.408357,-99.091229,False
31,COLEGIO MILITAR,19.449354,-99.172254,False
32,CONSTITUCION DE 1917,19.34593,-99.063892,False
33,CONSTITUYENTES,19.411858,-99.191265,False
34,CONSULADO,19.457893,-99.113932,True
35,COPILCO,19.335887,-99.176652,False
36,COYOACAN,19.361417,-99.170709,False
37,COYUYA,19.398521,-99.113545,False
38,CUATRO CAMINOS,19.459592,-99.215899,False
39,CUAUHTEMOC,19.425862,-99.154701,False
40,CUITLAHUAC,19.457448,-99.182038,False
41,CULHUACAN,19.337,-99.109,False
42,DEPORTIVO 18 DE MARZO,19.483747,-99.126549,True
43,DEPORTIVO OCEANIA,19.451034,-99.07917,False
44,DIVISION DEL NORTE,19.380021,-99.158885,False
45,DOCTORES,19.421612,-99.143372,False
46,ECATEPEC,19.515301,-99.035997,False
47,EDUARDO MOLINA,19.451378,-99.105434,False
48,EJE CENTRAL,19.3614,-99.1514,False
49,EL ROSARIO,19.504541,-99.20002,True
50,ERMITA,19.361883,-99.142942,True
51,ESCUADRON 201,19.36492,-99.109554,False
52,ETIOPIA/PLAZA DE LA TRANSPARENCIA,19.395586,-99.156268,False
53,EUGENIA,19.385466,-99.157469,False
54,FERRERIA,19.490746,-99.173841,False
55,FRAY SERVANDO,19.421633,-99.120541,False
56,GARIBALDI,19.444458,-99.139724,True
57,GENERAL ANAYA,19.353259,-99.145002,False
58,GOMEZ FARIAS,19.416472,-99.09035,False
59,GUELATAO,19.385162,-99.03574,False
60,GUERRERO,19.445146,-99.145389,True
61,HANGARES,19.424142,-99.087496,False
62,HIDALGO,19.437295,-99.147105,True
63,HOSPITAL 20 DE NOVIEMBRE,19.372,-99.171,False
64,HOSPITAL GENERAL,19.413578,-99.153886,False
65,IMPULSORA,19.485851,-99.048915,False
66,INDIOS VERDES,19.495358,-99.119468,False
67,INSTITUTO DEL PETROLEO,19.489573,-99.14526,True
68,INSURGENTES,19.423292,-99.163177,False
69,INSURGENTES SUR,19.3736,-99.1788,False
70,ISABEL LA CATOLICA,19.426732,-99.137685,False
71,IZTACALCO,19.388562,-99.112215,False
72,IZTAPALAPA,19.357834,-99.093461,False
73,JAMAICA,19.409004,-99.122171,False
74,JUANACATLAN,19.41289,-99.182167,False
75,JUAREZ,19.433167,-99.147792,False
76,LAGUNILLA,19.443386,-99.131334,True
77,LA PAZ,19.350526,-98.960745,False
78,LA RAZA,19.470153,-99.136891,True
79,LA VIGA,19.406495,-99.126248,False
80,LA VILLA-BASILICA,19.4816,-99.11845,False
81,LAZARO CARDENAS,19.40696,-99.144874,False
82,LINDAVISTA,19.48860922,-99.13504109,False
83,LOS REYES,19.358968,-98.976903,False
84,MIGUEL ANGEL DE QUEVEDO,19.346395,-99.18103,False
85,MARTIN CARRERA,19.484921,-99.104404,True
86,MERCED,19.425558,-99.124639,False
87,MEXICALTZINGO,19.3577,-99.1218,False
88,MISTERIOS,19.463315,-99.130797,False
89,MIXCOAC,19.375891,-99.187531,True
90,MIXIUHCA,19.408478,-99.112902,False
91,MOCTEZUMA,19.427218,-99.110305,False
92,MORELOS,19.438974,-99.118266,False
93,MUZQUIZ,19.501629,-99.042048,False
94,NATIVITAS,19.379474,-99.140217,False
95,NEZAHUALCOYOTL,19.473066,-99.054537,False
96,NINOS HEROES,19.419508,-99.150581,False
97,NOPALERA,19.3,-99.04666667,False
98,NORMAL,19.4444,-99.1674,False
99,NORTE 45,19.488683,-99.162769,False
100,OBRERA,19.413558,-99.144187,False
101,OBSERVATORIO,19.398237,-99.200363,False
102,OCEANIA,19.445672,-99.087238,True
103,OLIMPICA,19.521328,-99.033422,False
104,OLIVOS,19.30416667,-99.05972222,False
105,PANTEONES,19.458763,-99.203153,False
106,PANTITLAN,19.41490524,-99.07345824,True
107,PARQUE DE LOS VENADOS,19.3707,-99.1587,False
108,PATRIOTISMO,19.4062,-99.1789,False
109,PENON VIEJO,19.37332,-99.017093,False
110,PERIFERICO ORIENTE,19.3177,-99.0746,False
111,PINO SUAREZ,19.425336,-99.132943,True
112,PLAZA ARAGON,19.528447,-99.030118,False
113,POLANCO,19.433511,-99.191029,False
114,POLITECNICO,19.50082,-99.149294,False
115,POPOTLA,19.452147,-99.1747,False
116,PORTALES,19.3698,-99.1416,False
117,POTRERO,19.47691,-99.132171,False
118,PUEBLA,19.407142,-99.082432,False
119,REFINERIA,19.469951,-99.190578,False
120,REVOLUCION,19.4392,-99.15434722,False
121,RICARDO FLORES MAGON,19.436567,-99.103675,False
122,RIO DE LOS REMEDIOS,19.490908,-99.046597,False
123,ROMERO RUBIO,19.440735,-99.094362,False
124,SALTO DEL AGUA,19.426813,-99.142213,False
125,SAN ANDRES TOMATLAN,19.3283,-99.1049,False
126,SAN ANTONIO,19.384757,-99.186308,False
127,SAN ANTONIO ABAD,19.418597,-99.134145,False
128,SAN COSME,19.441706,-99.161096,False
129,SAN JOAQUIN,19.445793,-99.191823,False
130,SAN JUAN DE LETRAN,19.431305,-99.141569,False
131,SAN LAZARO,19.430213,-99.114833,False
132,SAN PEDRO DE LOS PINOS,19.391275,-99.186051,False
133,SANTA ANITA,19.40273,-99.121699,True
134,SANTA MARTA,19.36,-98.994863,False
135,SEVILLA,19.421916,-99.17058,False
136,TACUBA,19.459349,-99.189205,True
137,TACUBAYA,19.403439,-99.187102,True
138,TALISMAN,19.47428,-99.108009,False
139,TASQUENA,19.344168,-99.142685,False
140,TEPALCATES,19.391335,-99.046383,False
141,TEPITO,19.442495,-99.12333,False
142,TERMINAL AEREA,19.433734,-99.087667,False
143,TEZONCO,19.30611111,-99.065,False
144,TEZOZOMOC,19.495116,-99.196286,False
145,TLAHUAC,19.28597222,-99.01419444,True
146,TLALTENCO,19.29416667,-99.02388889,False
147,TLATELOLCO,19.454979,-99.142814,False
148,UAM-I,19.351234,-99.074707,False
149,UNIVERSIDAD,19.324427,-99.17397,False
150,VALLE GOMEZ,19.458742,-99.119296,False
151,VALLEJO,19.48977,-99.15612,False
152,VELODROMO,19.408478,-99.103074,False
153,VIADUCTO,19.400808,-99.136891,False
154,VILLA DE ARAGON,19.461656,-99.061704,False
155,VILLA DE CORTES,19.38753,-99.138994,False
156,VIVEROS/DERECHOS HUMANOS,19.353724,-99.176052,False
157,XOLA,19.3952,-99.1377,False
158,ZAPATA,19.370952,-99.164937,True
159,ZAPOTITLAN,19.29666667,-99.03444444,False
160,ZARAGOZA,19.412344,-99.08241,False
161,ZOCALO,19.433248,-99.1329,False
